Series;Time;Value;;;
mysql_mysql.mean;2020-02-22T17:53:59+01:00;null;-1;;
mysql_mysql.mean;2020-02-22T17:53:59+01:00;null;-1;;
mysql_mysql.mean;2020-02-22T17:53:59+01:00;null;-1;;
mysql_mysql.mean;2020-02-22T17:53:59+01:00;null;-1;;
mysql_mysql.mean;2020-02-22T17:54:00+01:00;1426;-1;;
mysql_mysql.mean;2020-02-22T17:54:00+01:00;1427.84;-1;;
mysql_mysql.mean;2020-02-22T17:54:00+01:00;1429.68;-1;;
mysql_mysql.mean;2020-02-22T17:54:00+01:00;1431.52;-1;;
mysql_mysql.mean;2020-02-22T17:54:00+01:00;1433.36;-1;;
mysql_mysql.mean;2020-02-22T17:54:01+01:00;1435.2;-1;;
mysql_mysql.mean;2020-02-22T17:54:01+01:00;1437.04;-1;;
mysql_mysql.mean;2020-02-22T17:54:01+01:00;1438.88;-1;;
mysql_mysql.mean;2020-02-22T17:54:01+01:00;1440.72;-1;;
mysql_mysql.mean;2020-02-22T17:54:01+01:00;1442.56;-1;;
mysql_mysql.mean;2020-02-22T17:54:02+01:00;1444.4;-1;;
mysql_mysql.mean;2020-02-22T17:54:02+01:00;1446.24;-1;;
mysql_mysql.mean;2020-02-22T17:54:02+01:00;1448.08;-1;;
mysql_mysql.mean;2020-02-22T17:54:02+01:00;1449.92;-1;;
mysql_mysql.mean;2020-02-22T17:54:02+01:00;1451.76;-1;;
mysql_mysql.mean;2020-02-22T17:54:03+01:00;1453.6;-1;;
mysql_mysql.mean;2020-02-22T17:54:03+01:00;1455.44;-1;;
mysql_mysql.mean;2020-02-22T17:54:03+01:00;1457.28;-1;;
mysql_mysql.mean;2020-02-22T17:54:03+01:00;1459.12;-1;;
mysql_mysql.mean;2020-02-22T17:54:03+01:00;1460.96;-1;;
mysql_mysql.mean;2020-02-22T17:54:04+01:00;1462.8;-1;;
mysql_mysql.mean;2020-02-22T17:54:04+01:00;1464.64;-1;;
mysql_mysql.mean;2020-02-22T17:54:04+01:00;1466.48;-1;;
mysql_mysql.mean;2020-02-22T17:54:04+01:00;1468.32;-1;;
mysql_mysql.mean;2020-02-22T17:54:04+01:00;1470.16;-1;;
mysql_mysql.mean;2020-02-22T17:54:05+01:00;1472;-1;;
mysql_mysql.mean;2020-02-22T17:54:05+01:00;1473.84;-1;;
